ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Sale price,Regular price,Categories,Images,Tags,Shipping class,Position
,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,simple,crystal-black-white-grey-SL0072,موزاييك الكريستال- أسود-أبيض-رمادي,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-black-white-grey-SL0072.jpg,#mosaics #crystal_mosaic,,0
1207,simple,crystal-black-white-SL0088,موزاييك الكريستال- أسود-أبيض,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-black-white-SL0088.jpg,#mosaics #crystal_mosaic,,0
1208,simple,crystal-black-wihte-grey-SL0089,موزاييك الكريستال- أسود-أبيض-رمادي,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-black-wihte-grey-SL0089.jpg,#mosaics #crystal_mosaic,,0
1209,simple,crystal-black-SL0085,موزاييك الكريستال - أسود,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-black-SL0085.jpg,#mosaics #crystal_mosaic,,0
1210,simple,crystal-blue-SL0077,موزاييك الكريستال - الأزرق,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-blue-SL0077.jpg,#mosaics #crystal_mosaic,,0
1212,simple,crystal-blue-white-SL0083,موزاييك الكريستال - الأزرق والأبيض,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-blue-white-SL0083.jpg,#mosaics #crystal_mosaic,,0
1213,simple,crystal-brown-Hazel-SL0093,موزاييك الكريستال - بني عسلي,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-brown-Hazel-SL0093.jpg,#mosaics #crystal_mosaic,,0
1214,simple,crystal-green-white-SL0092,موزاييك الكريستال- الأخضر والأبيض,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-green-white-SL0092.jpg,#mosaics #crystal_mosaic,,0
1215,simple,crystal-green-yellow-white-SL0095,موزاييك الكريستال- الأخضر والأصفر والأبيض,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-green-yellow-white-SL0095.jpg,#mosaics #crystal_mosaic,,0
1216,simple,crystal-grey-white-SL0076,موزاييك الكريستال- رمادي-أبيض,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-grey-white-SL0076.jpg,#mosaics #crystal_mosaic,,0
1217,simple,crystal-mix-blue-SL0073,موزاييك الكريستال - مزيج - الأزرق,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-mix-blue-SL0073.jpg,#mosaics #crystal_mosaic,,0
1218,simple,crystal-mix-blue-SL0078,موزاييك الكريستال - مزيج - الأزرق,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-mix-blue-SL0078.jpg,#mosaics #crystal_mosaic,,0
1219,simple,crystal-mix-blue-SL0080,موزاييك الكريستال - مزيج - الأزرق,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-mix-blue-SL0080.jpg,#mosaics #crystal_mosaic,,0
1220,simple,crystal-mix-blue-SL0082,موزاييك الكريستال - مزيج - الأزرق,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-mix-blue-SL0082.jpg,#mosaics #crystal_mosaic,,0
1221,simple,crystal-mix-brown-SL0075,موزاييك الكريستال- مزيج - البني,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-mix-brown-SL0075.jpg,#mosaics #crystal_mosaic,,0
1222,simple,crystal-mix-Hazel-SL0074,موزاييك الكريستال- مزيج - العسلي,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-mix-Hazel-SL0074.jpg,#mosaics #crystal_mosaic,,0
1223,simple,crystal-navy-blue-SL0079,موزاييك الكريستال- الأزرق الداكن,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-navy-blue-SL0079.jpg,#mosaics #crystal_mosaic,,0
1224,simple,crystal-navy-light-blue-SL0079,موزاييك الكريستال- الأزرق - الأزرق الداكن,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-navy-light-blue-SL0079.jpg,#mosaics #crystal_mosaic,,0
1225,simple,crystal-navy-SL0086-A,موزاييك الكريستال -  الأزرق الداكن,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-navy-SL0086-A.jpg,#mosaics #crystal_mosaic,,0
1226,simple,crystal-navy-white-SL0083,موزاييك الكريستال -  الأزرق الداكن - الأبيض,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-navy-white-SL0083.jpg,#mosaics #crystal_mosaic,,0
1227,simple,crystal-orange-white-SL0091,موزاييك الكريستال- برتقالي-أبيض,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-orange-white-SL0091.jpg,#mosaics #crystal_mosaic,,0
1228,simple,crystal-red-rose-white-SL0094,موزاييك الكريستال- أحمر - روز - أبيض,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-red-rose-white-SL0094.jpg,#mosaics #crystal_mosaic,,0
1229,simple,crystal-red-SL0087,موزاييك الكريستال- أحمر,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-red-SL0087.jpg,#mosaics #crystal_mosaic,,0
1230,simple,crystal-white-SL0084,موزاييك الكريستال- أبيض,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-white-SL0084.jpg,#mosaics #crystal_mosaic,,0
1231,simple,crystal-blue-gray,موزاييك الكريستال- أزرق,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-blue-gray.jpg,#mosaics #crystal_mosaic,,0
1232,simple,crystal-gold,موزاييك الكريستال- ذهبي,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,75,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-gold.jpg,#mosaics #crystal_mosaic,,0
1233,simple,crystal-mix-turquoise,موزاييك الكريستال- مزيج - تركواز,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,28,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-mix-turquoise.jpg,#mosaics #crystal_mosaic,,0
1234,simple,crystal-silver,موزاييك الكريستال- فضي,1,0,visible,شيت حوالي 121 قطعة  موزاييك الكرستال  . ,موزاييك الكرستال,taxable,1,,,0,0,760,,,,1,,75,"الموزاييك, الموزاييك > موزاييك الكريستال",https://our-arts.com/wp-content/uploads/products/crystal-mosaic/crystal-silver.jpg,#mosaics #crystal_mosaic,,0
